id,lines_of_code,num_functions,cyclomatic_complexity,max_nesting_depth
s752993784,16,1,1,1
s199418121,4,1,1,0
s537584449,13,1,3,2
s043545989,14,1,1,1
s609392609,12,1,1,3
s310981504,5,1,1,1
s419623944,5,1,1,1
s546174362,13,1,1,2
s908812767,51,1,10,4
s251858505,1,1,1,0
s504709360,17,1,1,5
s785944322,9,1,1,1
s170274782,14,1,1,1
s662673721,10,1,1,2
s539244923,2,1,1,0
s790754864,12,1,1,2
s636719275,13,1,2,2
s240532461,11,1,1,1
s828550015,9,1,1,2
s225615697,9,1,1,1
s846046431,11,1,1,2
s462546732,7,1,1,1
s131946120,2,1,1,0
s016605598,48,1,1,4
s441028271,5,1,1,1
s269975433,15,1,2,3
s949655009,24,1,1,4
s316832655,2,1,1,0
s103029464,11,1,1,2
s759547301,7,1,1,1
s961772658,6,1,1,3
s018260659,10,1,1,2
s826716211,28,1,6,4
s353603279,5,1,1,0
s663509070,12,1,1,3
s000375264,6,1,1,1
s522872163,5,1,1,1
s997947249,5,1,1,1
s451465602,7,1,1,0
s760938927,15,1,1,4
s621701371,19,1,1,3
s875904659,27,2,5,4
s706119740,2,1,1,0
s636592395,8,1,1,1
s137613418,88,16,9,4
s028530838,5,1,1,1
s273727373,8,1,1,1
s404600540,8,1,1,1
s922746568,15,1,1,3
s267172486,6,1,1,1
s616346400,11,1,5,4
s430322735,19,1,1,2
s761121328,11,1,1,1
s031917494,1,1,1,0
s952264435,4,1,1,0
s986062252,22,2,3,2
s923405856,11,1,1,2
s534639230,20,1,5,3
s817205687,27,2,1,2
s287369394,14,1,1,1
s058944700,16,1,1,2
s185068963,2,1,1,0
s764169243,48,6,5,5
s768331281,3,1,1,0
s993625131,13,1,1,3
s315467749,21,1,1,4
s060838372,10,1,1,1
s695100304,4,1,1,0
s831456551,2,1,1,0
s951065247,11,1,3,2
s542358243,5,1,1,1
s031459110,11,1,1,2
s681105182,24,1,3,3
s838619850,13,1,1,3
s087080706,6,1,1,0
s733189960,16,1,5,3
s855969677,9,1,1,1
s238775098,9,1,1,2
s101447419,26,1,7,4
s060251920,4,1,1,1
s960572618,5,1,1,1
s091400419,3,1,1,0
s764356857,9,1,1,2
s280552889,5,1,1,1
s827462150,16,1,1,3
s225521100,14,1,1,2
s683277023,5,1,1,0
s208095748,7,1,1,1
s500828884,2,1,1,0
s975943078,24,1,7,3
s205112814,8,1,1,1
s214672212,3,1,1,0
s197514717,5,1,1,0
s267613210,14,1,2,2
s813548165,7,1,1,1
s869207096,9,1,1,2
s025428739,6,1,1,0
s491954463,9,1,1,1
s575946485,11,1,1,2
s747093551,4,1,1,0
s814885508,13,1,3,2
s704354119,12,1,1,2
s043174379,4,1,1,0
s246930871,3,1,1,0
s357377130,13,1,1,2
s708549466,13,1,1,3
s122565091,12,1,1,2
s735480710,9,1,1,1
s622795537,13,1,1,2
s232279435,13,1,1,3
s195311365,5,1,1,1
s840967243,5,1,1,0
s067092519,19,1,1,3
s485638370,2,1,1,0
s642705424,7,1,1,2
s048491063,20,1,8,3
s040517919,11,1,1,1
s147181072,1,1,1,0
s086522214,34,3,4,3
s977408144,178,24,8,4
s797394058,7,1,1,0
s934308496,4,1,1,0
s411244720,7,1,1,1
s200092246,11,1,1,2
s453478465,5,1,1,1
s668439281,15,1,1,2
s615966179,5,1,1,0
s951169509,40,1,1,5
s676839884,6,1,1,1
s554393427,13,1,1,2
s441329208,8,1,1,0
s897879131,7,1,1,3
s344468705,28,2,3,3
s233116196,22,1,1,5
s062747389,2,1,1,0
s964794058,17,1,1,2
s724326345,10,1,3,3
s878873709,15,1,3,3
s652791025,8,1,1,1
s039768540,2,1,1,0
s174910557,9,1,1,2
s893778513,8,1,1,1
s592421258,3,1,1,0
s182651529,11,1,1,2
s681170949,2,1,1,0
s486032847,14,2,2,2
s694958625,4,1,1,0
s702834515,6,1,1,2
s664563518,49,2,6,3
s870744379,5,1,1,1
s103354654,8,1,1,2
s895229833,13,1,1,3
s749244504,25,1,1,2
s759499751,11,1,1,2
s124725275,73,4,14,4
s777789287,8,1,1,1
s858647829,5,1,1,1
s763097776,12,1,1,2
s582886163,5,1,1,0
s787811177,6,1,1,0
s906994739,15,1,1,4
s957164965,14,1,1,2
s259116349,25,1,1,3
s191853417,2,1,1,0
s557080041,12,1,1,2
s763208424,10,1,2,1
s880494034,9,1,1,2
s770408311,6,1,1,1
s167793578,4,1,1,0
s591424993,20,1,1,3
s142939923,5,1,1,0
s666154520,5,1,1,2
s952876397,23,1,1,2
s151217193,3,1,1,0
s052231578,5,1,1,0
s146553386,13,1,1,1
s913338871,5,1,1,0
s454986054,2,1,1,0
s793709854,25,1,1,3
s246280701,8,1,1,2
s590045523,14,1,1,4
s007458552,15,1,2,1
s554858080,6,1,1,1
s110149598,7,1,1,1
s538657784,7,1,1,2
s001486412,6,1,1,1
s242961129,11,1,1,1
s896397037,6,1,1,1
s423256012,5,1,1,1
s002779582,9,1,1,2
s331817031,15,1,1,4
s355314304,5,1,1,1
s210889193,14,1,6,2
s289483518,17,1,1,4
s607161467,7,1,1,1
s179314665,5,1,1,1
s804484425,32,1,1,2
s661542483,7,1,2,2
s013976107,6,1,1,1
s398580870,5,1,1,1
