id,molecular_weight,logp,num_h_donors,num_h_acceptors,num_rotatable_bonds,num_aromatic_rings,tpsa,num_atoms
mol_0,457.4320000000001,-3.1080199999999985,7,12,7,1,202.31999999999996,32
mol_1,201.22500000000002,2.840320000000001,1,2,2,2,42.24,15
mol_2,152.237,2.878000000000001,0,1,4,0,17.07,11
mol_3,278.354,6.299400000000004,0,0,0,5,0.0,22
mol_4,84.14299999999999,1.7480999999999998,0,1,0,1,0.0,5
mol_5,135.191,2.2962999999999996,0,2,0,2,12.89,9
mol_6,326.437,6.620600000000001,0,0,1,2,0.0,17
mol_7,272.388,3.6092000000000026,2,2,0,1,40.46,20
mol_8,380.913,4.481400000000002,0,1,0,0,12.53,19
mol_9,394.42300000000023,3.7033000000000023,0,6,3,2,63.22,29
mol_10,85.10600000000001,-0.10360000000000008,1,1,0,0,29.1,6
mol_11,162.61899999999997,3.4932000000000016,0,0,0,2,0.0,11
mol_12,70.135,1.9725,0,0,2,0,0.0,5
mol_13,218.256,0.5378999999999994,2,2,2,1,58.2,16
mol_14,198.39399999999995,5.707400000000006,0,0,11,0,0.0,14
mol_15,78.542,1.6336,0,0,0,0,0.0,4
mol_16,88.14999999999999,1.0248,1,1,2,0,20.23,6
mol_17,103.12399999999997,1.5582799999999999,0,1,0,1,23.79,8
mol_18,304.35200000000003,3.5847200000000026,0,6,7,1,53.47,19
mol_19,172.312,3.5079000000000025,1,1,8,0,20.23,12
mol_20,326.437,6.620600000000001,0,0,1,2,0.0,17
mol_21,234.29899999999995,1.5305,1,3,1,1,54.86,17
mol_22,260.38599999999997,3.727700000000003,0,5,8,0,18.46,13
mol_23,179.219,2.0437,1,2,3,1,38.33,13
mol_24,322.243,2.9502000000000006,1,6,5,1,115.54000000000002,22
mol_25,116.204,1.9491,1,1,5,0,20.23,8
mol_26,180.16699999999997,-1.039700000000001,1,5,0,2,72.68,13
mol_27,212.249,0.9389999999999998,2,3,4,0,75.27000000000001,15
mol_28,318.0300000000001,6.187900000000003,0,0,2,2,0.0,18
mol_29,158.24099999999999,2.5199000000000007,0,2,6,0,26.3,11
mol_30,134.22199999999998,2.811400000000001,0,0,2,1,0.0,10
mol_31,288.44,4.506300000000004,0,5,7,0,18.46,15
mol_32,300.314,3.784220000000002,2,4,3,2,76.66,22
mol_33,96.94399999999999,1.9352,0,0,0,0,0.0,4
