id,smiles,target_property
mol_0,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77
mol_1,Cc1occc1C(=O)Nc2ccccc2,-3.3
mol_2,CC(C)=CCCC(C)=CC(=O),-2.06
mol_3,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
mol_4,c1ccsc1,-1.33
mol_5,c2ccc1scnc1c2 ,-1.5
mol_6,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32
mol_7,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
mol_8,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29
mol_9,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42
mol_10,O=C1CCCN1,1.07
mol_11,Clc1ccc2ccccc2c1,-4.14
mol_12,CCCC=C,-2.68
mol_13,CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64
mol_14,CCCCCCCCCCCCCC,-7.96
mol_15,CC(C)Cl,-1.41
mol_16,CCC(C)CO,-0.47
mol_17,N#Cc1ccccc1,-1.0
mol_18,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64
mol_19,CCCCCCCCCC(C)O,-2.94
mol_20,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43
mol_21,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999
mol_22,CCOP(=S)(OCC)SCSCC,-4.11
mol_23,CCOc1ccc(NC(=O)C)cc1,-2.35
mol_24,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47
mol_25,CCCCCCCO,-1.81
mol_26,Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39
mol_27,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661
mol_28,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9
mol_29,CCCCCCCC(=O)OC,-3.17
mol_30,CCc1ccc(CC)cc1,-3.75
mol_31,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
mol_32,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805
mol_33,ClC(=C)Cl,-1.64
mol_34,Cc1cccc2c1Cc3ccccc32,-5.22
mol_35,CCCCC=O,-0.85
mol_36,N(c1ccccc1)c2ccccc2,-3.504
mol_37,CN(C)C(=O)SCCCCOc1ccccc1,-3.927
mol_38,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
mol_39,CCCCCCCI,-4.81
mol_40,c1c(Cl)cccc1c2ccccc2,-4.88
mol_41,OCCCC=C,-0.15
mol_42,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
mol_43,CC(C)C1CCC(C)CC1O ,-2.53
mol_44,CC(C)OC=O,-0.63
mol_45,CCCCCC(C)O,-1.55
mol_46,CC(=O)Nc1ccc(Br)cc1,-3.083
mol_47,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
mol_48,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76
mol_49,c2c(C)cc1nc(C)ccc1c2 ,-1.94
mol_50,CCCCCCC#C,-3.66
mol_51,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17
mol_52,c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
mol_53,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523
mol_54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6
mol_55,Cc1ccccc1O,-0.62
mol_56,CC(C)CCC(C)(C)C,-5.05
mol_57,Cc1ccc(C)c2ccccc12,-4.14
mol_58,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
mol_59,CCCC(=O)C,-0.19
mol_60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15
mol_61,CCCOC(=O)CC,-0.82
mol_62,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
mol_63,Nc1ccc(O)cc1,-0.8
mol_64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
mol_65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
mol_66,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
mol_67,NC(=O)c1cnccn1,-0.667
mol_68,CCC(Br)(CC)C(=O)NC(N)=O,-2.68
mol_69,Clc1ccccc1c2ccccc2Cl ,-5.27
mol_70,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38
mol_71,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
mol_72,CC1(C)C2CCC1(C)C(=O)C2,-1.96
mol_73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
mol_74,CCCCC(=O)OCC,-2.25
mol_75,CC(C)CCOC(=O)C,-1.92
mol_76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
mol_77,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01
mol_78,CCCBr,-1.73
mol_79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
mol_80,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
mol_81,Cc1ncnc2nccnc12,-0.466
mol_82,NC(=S)N,0.32
mol_83,Cc1ccc(C)cc1,-2.77
mol_84,CCc1ccccc1CC,-3.28
mol_85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
mol_86,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
mol_87,CCCN(=O)=O,-0.8
mol_88,CC(C)C1CCC(C)CC1=O,-2.35
mol_89,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36
mol_90,O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48
mol_91,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46
mol_92,c1ccc2c(c1)c3cccc4cccc2c34,-6.0
mol_93,CCCOC(C)C,-1.34
mol_94,Cc1cc(C)c2ccccc2c1,-4.29
mol_95,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07
mol_96,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
mol_97,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
mol_98,C1OC1c2ccccc2 ,-1.6
mol_99,CC(C)c1ccccc1,-3.27
mol_100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
mol_101,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43
mol_102,C1OC(O)C(O)C(O)C1O,0.39
mol_103,ClCCl,-0.63
mol_104,CCc1cccc2ccccc12,-4.17
mol_105,COC=O,0.58
mol_106,Oc1ccccc1N(=O)=O,-1.74
mol_107,Cc1c[nH]c(=O)[nH]c1=O ,-1.506
mol_108,CC(C)C,-2.55
mol_109,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
mol_110,Oc1c(I)cc(C#N)cc1I,-3.61
mol_111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
mol_112,CCCCC,-3.18
mol_113,c1ccccc1O,0.0
mol_114,Nc3ccc2cc1ccccc1cc2c3 ,-5.17
mol_115,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523
mol_116,c1ccc2cnccc2c1,-1.45
mol_117,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432
mol_118,CCCCCCc1ccccc1,-5.21
